,show_id,type,title,cast,release_year,rating,duration,listed_in,new_country,first_cast,main_listed_in
4940,s4941,TV Show,Power Rangers S.P.D.,"Brandon Jay McLaren, Chris Violette, Matt Austin, Monica May, Alycia Purrott, John Tui, Rene Naufahu, Michelle Langstone, Barnie Duncan, Kelson Henderson, Jim McLarty, Olivia James-Baird, Josephine Davison, Derek Judge, James Gaylyn",2005,TV-Y7,1 Season,Kids' TV,United States,Brandon Jay McLaren,Kids' TV
4941,s4942,TV Show,Power Rangers Samurai,"Alex Heartman, Erika Fong, Hector David Jr., Najee De-Tiege, Brittany Anne Pirtle, Rene Naufahu, Jeff Szusterman, Felix Ryan, Paul Schrier",2011,TV-Y7,1 Season,Kids' TV,United States,Alex Heartman,Kids' TV
4942,s4943,Movie,"Power Rangers Samurai: Christmas Together, Friends Forever (Christmas Special)","Alex Heartman, Erika Fong, Hector David Jr., Najee De-Tiege, Brittany Anne Pirtle, Steven Skyler, Rene Naufahu, Felix Ryan, Paul Schrier",2011,TV-Y7,24 min,Movies,United States,Alex Heartman,Movies
4943,s4944,Movie,Power Rangers Samurai: Clash of the Red Rangers,"Alex Heartman, Erika Fong, Hector David Jr., Najee De-Tiege, Brittany Anne Pirtle, Rene Naufahu",2011,TV-Y7,46 min,Children & Family Movies,United States,Alex Heartman,Children & Family Movies
4944,s4945,Movie,Power Rangers Samurai: Party Monsters (Halloween Special),"Alex Heartman, Erika Fong, Hector David Jr., Najee De-Tiege, Brittany Anne Pirtle, Steven Skyler, Rene Naufahu, Felix Ryan, Paul Schrier, Ricardo Medina Jr.",2011,TV-Y7,24 min,Movies,United States,Alex Heartman,Movies
4945,s4946,TV Show,Power Rangers Super Megaforce,"Andrew M. Gray, Ciara Hanna, John Mark Loudermilk, Christina Masterson, Azim Rizk, Geoff Dolan, Shailesh Prajapati, Ian Harcourt, Estevez Gillespie, Jason Hood",2014,TV-Y7,1 Season,Kids' TV,United States,Andrew M. Gray,Kids' TV
4946,s4947,Movie,Power Rangers Super Megaforce: The Legendary Battle (Extended),"Andrew M. Gray, Ciara Hanna, John Mark Loudermilk, Christina Masterson, Azim Rizk, Cameron Jebo, Shailesh Prajapati, Ian Harcourt",2014,TV-Y7,55 min,Movies,United States,Andrew M. Gray,Movies
4947,s4948,TV Show,Power Rangers Super Samurai,"Alex Heartman, Erika Fong, Hector David Jr., Najee De-Tiege, Brittany Anne Pirtle, Steven Skyler, Rene Naufahu, Felix Ryan, Paul Schrier, Jeff Szusterman, Kate Elliott, Ricardo Medina Jr., Derek Judge, Stig Alred",2012,TV-Y7,1 Season,Kids' TV,United States,Alex Heartman,Kids' TV
4948,s4949,Movie,Power Rangers Super Samurai: Stuck on Christmas,"Alex Heartman, Najee De-Tiege, Hector David Jr., Erika Fong, Brittany Anne Pirtle, Steven Skyler, Paul Schrier, Felix Ryan, Jeff Szusterman, Stig Alred, Kate Elliot",2012,TV-Y7,24 min,"Children & Family Movies, Sci-Fi & Fantasy",United States,Alex Heartman,Children & Family Movies
4949,s4950,Movie,Power Rangers Super Samurai: Trickster Treat,"Alex Heartman, Najee De-Tiege, Hector David Jr., Erika Fong, Brittany Anne Pirtle, Steven Skyler, Rene Naufahu, Paul Schrier, Felix Ryan, Jeff Szusterman, Stig Alred, Kate Elliot",2012,TV-Y7,23 min,Movies,United States,Alex Heartman,Movies
4950,s4951,TV Show,Power Rangers Time Force,"Jason Faunt, Erin Cahill, Kevin Kleinberg, Deborah Estelle Phillips, Michael Copon, Daniel Southworth, Vernon Wells, Kate Sheldon, Edward Lawrence Albert, Brianne Siddall, Terence J. Rotolo, Eddie Frierson",2001,TV-Y7,1 Season,Kids' TV,United States,Jason Faunt,Kids' TV
4951,s4952,TV Show,Power Rangers Turbo,"Johnny Yong Bosch, Nakia Burrise, Blake Foster, Jason David Frank, Catherine Sutherland, Carol Hoyt, Jason Narvy, Paul Schrier, Gregg Bullock, Hilary Shepard, Tracy Lynn Cruz, Patricia Ja Lee, Roger Velasco, Selwyn Ward, Donene Kistler",1997,TV-Y7,1 Season,Kids' TV,United States,Johnny Yong Bosch,Kids' TV
4952,s4953,TV Show,Power Rangers Wild Force,"Ricardo Medina Jr., Alyson Kiperman, Phillip Jeanmarie, Jessica Rey, Jack Guzman, Phillip Andrew, Ann Marie Crouch, Ilia Volok, Sin Wong, Danny Wayne, Terence J. Rotolo",2002,TV-Y7,1 Season,Kids' TV,United States,Ricardo Medina Jr.,Kids' TV
4953,s4954,TV Show,Power Rangers Zeo,"Catherine Sutherland, Nakia Burrise, Steve Cardenas, Johnny Yong Bosch, Jason David Frank, David Yost, Austin St. John, Paul Schrier, Jason Narvy, Namihei Koshige, Danny Wayne, Akira Madden, David Stenstrom, Tadahiro Nakamura, Kerrigan Mahan",1996,TV-Y7,1 Season,Kids' TV,United States,Catherine Sutherland,Kids' TV
4954,s4955,TV Show,Power Rangers: Megaforce,"Andrew M. Gray, Ciara Hanna, John Mark Loudermilk, Christina Masterson, Azim Rizk, Shailesh Prajapati, Ian Harcourt",2013,TV-Y7,1 Season,Kids' TV,United States,Andrew M. Gray,Kids' TV
4955,s4956,Movie,Power Rangers: Megaforce: Raising Spirits,"Andrew M. Gray, John Mark Loudermilk, Ciara Hanna, Azim Rizk, Christina Masterson, Shailesh Prajapati, Ian Harcourt",2013,TV-Y7,24 min,Children & Family Movies,United States,Andrew M. Gray,Children & Family Movies
4956,s4957,Movie,Power Rangers: Megaforce: The Robo Knight Before Christmas,"Andrew M. Gray, Ciara Hanna, John Mark Loudermilk, Christina Masterson, Azim Rizk, Shailesh Prajapati, Ian Harcourt",2013,TV-Y7,24 min,Children & Family Movies,United States,Andrew M. Gray,Children & Family Movies
4957,s4958,Movie,Prague,"Chandan Roy Sanyal, Elena Kazan, Kumar Mayank, Sonia Bindra, Arfi Lamba",2013,TV-MA,106 min,"Dramas, Independent Movies, International Movies",India,Chandan Roy Sanyal,Dramas
4958,s4959,Movie,Pranaam,"Rajeev Khandelwal, Samiksha Singh, S.M. Zaheer, Vikram Gokhale, Meenakshi Sethi, Atul Kulkarni, Abhimanyu Singh, Aniruddha Dave",2019,TV-14,117 min,"Action & Adventure, Dramas, International Movies",India,Rajeev Khandelwal,Action & Adventure
4959,s4960,TV Show,Prank Encounters,Gaten Matarazzo,2019,TV-MA,1 Season,"Reality TV, TV Comedies, TV Horror",United States,Gaten Matarazzo,Reality TV
4961,s4962,Movie,Prem Ratan Dhan Payo,"Salman Khan, Sonam Kapoor, Anupam Kher, Neil Nitin Mukesh, Sanjay Mishra, Swara Bhaskar, Deepak Dobriyal, Arman Kohli, Manoj Joshi, Samaira Rao, Karuna Pandey, Sucheta Khanna",2015,TV-14,164 min,"Action & Adventure, Dramas, International Movies",India,Salman Khan,Action & Adventure
4962,s4963,Movie,Premachi Goshta,"Atul Kulkarni, Sagarika Ghatge, Rohini Hattangadi, Sulekha Talvalkar, Meera Welankar, Satish Rajwade",2013,TV-14,127 min,"International Movies, Romantic Movies",India,Atul Kulkarni,International Movies
4963,s4964,Movie,Prescription Thugs,Chris Bell,2015,NR,86 min,Documentaries,United States,Chris Bell,Documentaries
4964,s4965,TV Show,President,"Su-jong Choi, Hee-Ra Ha, Jay Kim, Ji-hye Wang, Shin-il Kang",2010,TV-14,1 Season,"International TV Shows, Korean TV Shows, TV Dramas",South Korea,Su-jong Choi,International TV Shows
4965,s4966,TV Show,Pretend It’s a City,Fran Lebowitz,2021,TV-14,1 Season,Docuseries,United States,Fran Lebowitz,Docuseries
4966,s4967,Movie,Pretty Little Stalker,"Nicky Whelan, Ashley Rickards, Parker Mack, Jesse Hutch, Sierra McCormick, Heather Morris, Jason Cermak, Kourtney Hansen, Jane Harber, Cory Hart, Kim DeJesus",2018,TV-14,84 min,Thrillers,United States,Nicky Whelan,Thrillers
4967,s4968,TV Show,Pretty Man,"Sierra Li, Dylan Xiong, Yu Yi Jie, Zhao Yao Ke, Tien Hsin",2018,TV-14,1 Season,"International TV Shows, Romantic TV Shows, TV Dramas",United States,Sierra Li,International TV Shows
4968,s4969,Movie,Pretville,"Marlee van der Merwe, Eugene Jensen, Marno van der Merwe, Lizelle de Klerk, Steve Hofmeyr, Sanet Ackermann, Terence Bridgett, Annette Engelbrecht, Rina Nienaber, Lizz Meiring",2012,TV-PG,95 min,"Comedies, International Movies, Music & Musicals",South Africa,Marlee van der Merwe,Comedies
4969,s4970,Movie,Primal Fear,"Richard Gere, Edward Norton, Laura Linney, John Mahoney, Alfre Woodard, Frances McDormand, Terry O'Quinn, Andre Braugher, Steven Bauer, Joe Spano, Kenneth Tigar, Tony Plana, Maura Tierney, Stanley Anderson",1996,R,131 min,"Dramas, Thrillers",United States,Richard Gere,Dramas
4970,s4971,Movie,Prince,"Shammi Kapoor, Vyjayantimala, Rajendra Nath, Ajit, Helen, Leela Chitnis, Parveen Choudhary, Sudhir, Sunder, Rashid Khan",1969,TV-PG,152 min,"Dramas, International Movies, Romantic Movies",India,Shammi Kapoor,Dramas
4971,s4972,Movie,Prince Charming,"Kenny Bee, Cherie Chung, Chan Pak-cheung, Rosamund Kwan, Maggie Cheung",1984,TV-14,93 min,"Comedies, International Movies, Romantic Movies",Hong Kong,Kenny Bee,Comedies
4973,s4974,TV Show,Prince of Peoria,"Gavin Lewis, Theodore Barnes, Shelby Simmons, Cynthia Kaye McWilliams",2019,TV-G,2 Seasons,"Kids' TV, TV Comedies",United States,Gavin Lewis,Kids' TV
4974,s4975,Movie,Prince of Peoria: A Christmas Moose Miracle,"Gavin Lewis, Theodore Barnes, Shelby Simmons, Cynthia Kaye McWilliams",2018,TV-G,29 min,"Children & Family Movies, Comedies",United States,Gavin Lewis,Children & Family Movies
4975,s4976,Movie,Princess Cyd,"Tyler Ross, Rebecca Spence, James Vincent Meredith",2017,TV-MA,97 min,"Dramas, Independent Movies, LGBTQ Movies",United States,Tyler Ross,Dramas
4977,s4978,TV Show,Prison Playbook,"Hae-soo Park, Kyung-ho Jung, Dong-il Sung, Krystal Jung, Soo-jeong Ye, Jae-sung Jung, Hoon-jin Lee, Kyoo-hyung Lee, Ho-cheol Lee, Chang-hwan Ahn, Kyung-nam Kim",2017,TV-MA,1 Season,"International TV Shows, Korean TV Shows, TV Comedies",South Korea,Hae-soo Park,International TV Shows
4978,s4979,Movie,Private Life,"Paul Giamatti, Kathryn Hahn, Kayli Carter, Molly Shannon, John Carroll Lynch, Denis O'Hare, Desmin Borges, Tracee Chimo, Siobhan Fallon Hogan, Emily Robinson",2018,R,124 min,"Comedies, Dramas, Independent Movies",United States,Paul Giamatti,Comedies
4979,s4980,TV Show,Private Lives,"Seohyun, Ko Kyung-pyo, Kim Hyo-jin, Kim Young-min, Tae Won-seok, Song Sun-mi, Park Seong-geun, Jang Jin-hee, Yoon Sa-bong, Lee Hak-ju, Song Sang-eun, Jang Won-hyeok, Yoo Hee-je, Min Zio, Kim Min-sang, Kim Ba-da, Cha Soo-yeon",2020,TV-14,1 Season,"Crime TV Shows, International TV Shows, TV Dramas",South Korea,Seohyun,Crime TV Shows
4980,s4981,TV Show,Private Practice,"Kate Walsh, Tim Daly, Audra McDonald, Paul Adelstein, Taye Diggs, Amy Brenneman, KaDee Strickland, Chris Lowell, Brian Benben",2012,TV-14,6 Seasons,"TV Comedies, TV Dramas",United States,Kate Walsh,TV Comedies
4981,s4982,Movie,Professor,"Shammi Kapoor, Kalpana, Lalita Pawar, Parveen Choudhary, Salim, Pratima Devi, Rashid Khan, Bir Sakuja, Bela Bose, Ratnamala",1962,TV-PG,163 min,"Comedies, Dramas, International Movies",India,Shammi Kapoor,Comedies
4982,s4983,Movie,Professor Mack,"Lisa Wu, Timon Kyle Durrett, Robert Christopher Riley, Erica Hubbard, Amin Joseph, Christopher Nolen, Larry Biela, Jackie Christie, Katharin 'Ladie K' Mraz, Simeon Henderson",2018,TV-MA,84 min,"Comedies, Romantic Movies",United States,Lisa Wu,Comedies
4983,s4984,TV Show,Prohibition: A Film by Ken Burns and Lynn Novick,Peter Coyote,2011,TV-PG,1 Season,"Crime TV Shows, Docuseries",United States,Peter Coyote,Crime TV Shows
4984,s4985,Movie,Project Marathwada,"Om Puri, Seema Biswas, Kunal Sheth, Rahul Patel, Katarina Kajkus, Farrah Kader, Govind Namdeo, Dalip Tahil",2016,TV-MA,103 min,"Dramas, Independent Movies, International Movies",India,Om Puri,Dramas
4985,s4986,TV Show,Project Mc²,"Mika Abdalla, Genneya Walton, Victoria Vida, Ysa Penarejo, Belle Shouse, Alyssa Lynch, Danica McKellar, Maddie Phillips, Sarah Desjardins",2017,TV-G,6 Seasons,Kids' TV,United States,Mika Abdalla,Kids' TV
4986,s4987,Movie,Project Papa,"Rakesh Batra, Kanika Batra, Sneha Kapoor, Rohn Malhotra, Munira Sen, Anaitha Nair, Rajit Kapoor",2018,TV-14,92 min,"Dramas, Independent Movies, International Movies",India,Rakesh Batra,Dramas
4987,s4988,Movie,Project Power,"Jamie Foxx, Joseph Gordon-Levitt, Dominique Fishback, Rodrigo Santoro, Courtney B. Vance, Amy Landecker, Machine Gun Kelly, Tait Fletcher, Allen Maldonado, Andrene Ward-Hammond",2020,R,113 min,Action & Adventure,United States,Jamie Foxx,Action & Adventure
4988,s4989,TV Show,Project S The Series,"Wiwattanawarang Oabnithi, Mahayotaruk Thiti, Lerkcharoempoj Papangkorn, Imanothai Kawin, Sakuljaroensuk Apinya, Oat Pasakorn Sanrattana, Leeratanakajorn Thanapob, Skye Nateeton Wongrawee, Supapunpinyo Teeradon, Chansangavej Chayanit, Ketprapakorn Narikun, Pibunsonggram Kritsanapoom, Santinatornkul Chanon",2017,TV-MA,4 Seasons,"International TV Shows, TV Dramas, Teen TV Shows",Thailand,Wiwattanawarang Oabnithi,International TV Shows
4989,s4990,Movie,Prom Night,"Brittany Snow, Scott Porter, Jessica Stroup, Dana Davis, Collins Pennie, Kelly Blatz, James Ransone, Brianne Davis, Kellan Lutz, Mary Mara, Ming-Na Wen, Johnathon Schaech, Idris Elba",2008,PG-13,88 min,Horror Movies,United States,Brittany Snow,Horror Movies
4990,s4991,Movie,Prosecuting Evil: The Extraordinary World of Ben Ferencz,Ben Ferencz,2019,TV-MA,83 min,Documentaries,Canada,Ben Ferencz,Documentaries
4991,s4992,Movie,Prospect,"Sophie Thatcher, Pedro Pascal, Jay Duplass, Andre Royo, Sheila Vand, Anwan Glover",2018,R,100 min,"Sci-Fi & Fantasy, Thrillers",Canada,Sophie Thatcher,Sci-Fi & Fantasy
4992,s4993,TV Show,Psiconautas,"Guillermo Toledo, Gabriel Goity, Florencia Peña, Julieta Zylberberg, Martín Piroyansky, Luis Ziembrowski, Verónica Llinás, Emilio Disi",2016,TV-MA,2 Seasons,"International TV Shows, Spanish-Language TV Shows, TV Comedies",Argentina,Guillermo Toledo,International TV Shows
4993,s4994,Movie,Psycho,"Udhayanidhi Stalin, Aditi Rao Hydari, Nithya Menon, Ram, Rajkumar Pitchumani",2020,TV-MA,143 min,"Horror Movies, International Movies, Thrillers",India,Udhayanidhi Stalin,Horror Movies
4994,s4995,Movie,Psychokinesis,"Ryu Seung-ryong, Shim Eun-kyung, Jung-min Park, Min-jae Kim, Yu-mi Jung",2018,TV-MA,102 min,"Action & Adventure, Comedies, International Movies",South Korea,Ryu Seung-ryong,Action & Adventure
4995,s4996,TV Show,Pucca: Love Recipe,"Jeonghwa Yang, Yongwoo Shin, Doug Erholtz, Melissa Fahn, Karen Strassman, Kirk Thornton, Spike Spencer",2018,TV-Y7,1 Season,"Kids' TV, Korean TV Shows",United States,Jeonghwa Yang,Kids' TV
4996,s4997,TV Show,Puella Magi Madoka Magica,"Aoi Yuki, Chiwa Saito, Kaori Mizuhashi, Eri Kitamura, Emiri Kato, Ai Nonaka",2011,TV-14,1 Season,"Anime Series, International TV Shows",Japan,Aoi Yuki,Anime Series
4997,s4998,TV Show,Puerta 7,"Dolores Fonzi, Esteban Lamothe, Carlos Belloso, Juan Gil Navarro, Daniel Aráoz, Antonio Grimau, Ignacio Quesada, Mónica Ayos, Daniel Valenzuela",2020,TV-MA,1 Season,"Crime TV Shows, International TV Shows, Spanish-Language TV Shows",Argentina,Dolores Fonzi,Crime TV Shows
4998,s4999,Movie,Puerto Ricans in Paris,"Luis Guzmán, Edgar Garcia, Alice Taglioni, Rosie Perez, Miriam Shor, Frédéric Anscombre, Rosario Dawson, Julie Ferrier, Michaël Cohen, Ravi Patel",2015,R,82 min,Comedies,United States,Luis Guzmán,Comedies
4999,s5000,TV Show,Puffin Rock,"Chris O'Dowd, Kate McCafferty, Sally McDaid, Geraldine Cole, Brian McMonagle, Darragh Gargan",2016,TV-Y,2 Seasons,Kids' TV,Ireland,Chris O'Dowd,Kids' TV
5000,s5001,Movie,Pukar,"Anil Kapoor, Madhuri Dixit, Namrata Shirodkar, Danny Denzongpa, Om Puri, Kulbhushan Kharbanda, Farida Jalal, Shivaji Satham",2000,TV-14,165 min,"Action & Adventure, Dramas, International Movies",India,Anil Kapoor,Action & Adventure
5001,s5002,Movie,Pulang,"Puteri Aishah, Remy Ishak, Alvin Wong",2018,TV-14,119 min,"Action & Adventure, Dramas, International Movies",Malaysia,Puteri Aishah,Action & Adventure
5002,s5003,Movie,Pulp Fiction,"John Travolta, Samuel L. Jackson, Uma Thurman, Harvey Keitel, Tim Roth, Amanda Plummer, Maria de Medeiros, Ving Rhames, Eric Stoltz, Rosanna Arquette, Christopher Walken, Bruce Willis",1994,R,154 min,"Classic Movies, Cult Movies, Dramas",United States,John Travolta,Classic Movies
5003,s5004,Movie,Punjab 1984,"Diljit Dosanjh, Kiron Kher, Sonam Bajwa, Pavan Malhotra, Rana Ranbir, Vishwas Kini, Manav Vij, Vansh Bhardwaj",2014,TV-14,158 min,"Dramas, International Movies",Canada,Diljit Dosanjh,Dramas
5004,s5005,TV Show,Pup Academy,"Christian Convery, Don Lake, Chance Hurstfield, Aria Birch, Dylan Schombing, Riley O'Donnell",2020,TV-Y,2 Seasons,"Kids' TV, TV Comedies",United States,Christian Convery,Kids' TV
5005,s5006,Movie,Pup Star,"Makenzie Moss, Jed Rees, David DeLuise, Carla Jimenez, Tom Everett Scott, Diedrich Bader, George Newbern, Bonnie Somerville, John Ratzenberger",2016,G,92 min,"Children & Family Movies, Comedies",Canada,Makenzie Moss,Children & Family Movies
5006,s5007,Movie,Pup Star: Better 2Gether,"Kaitlyn Maher, Obba Babatundé, Lombardo Boyar, Molly Burnett, Chris Coppola, Reggie De Leon, David DeLuise, Matty Finochio, Josh Flitter, Benjamin Flores Jr.",2017,PG,93 min,"Children & Family Movies, Comedies",Canada,Kaitlyn Maher,Children & Family Movies
5007,s5008,Movie,Pup Star: World Tour,"Jed Ress, Makenzie Moss, Denisse Ojeda, Reggie De Leon, David DeLuise, Kaitlyn Maher, Jorge Diaz, George Newbern, Diedrich Bader, Mackenzie Sol",2018,G,87 min,"Children & Family Movies, Comedies, Music & Musicals",Canada,Jed Ress,Children & Family Movies
5008,s5009,Movie,Puppy Star Christmas,"Kaitlyn Maher, Mackenzie Sol, Makenzie Moss, David DeLuise, George Newbern, Reggie De Leon, Diedrich Bader, Chloe Coleman, Oakley Bull, Dillon Fontana, vivienne Rutherford, Tyreese Burnett",2018,PG,91 min,"Children & Family Movies, Comedies",United States,Kaitlyn Maher,Children & Family Movies
5009,s5010,Movie,Puriyatha Puthir,"Vijay Sethupathi, Gayathrie, Mahima Nambiar, Arjunan, Ramesh Thilak, Ranjith",2017,TV-MA,120 min,"International Movies, Thrillers",India,Vijay Sethupathi,International Movies
5010,s5011,Movie,Pusher,"Richard Coyle, Bronson Webb, Agyness Deyn, Mem Ferda, Zlatko Buric, Paul Kaye, Bill Thomas, Neil Maskell, Daisy Lewis",2012,R,89 min,Action & Adventure,United Kingdom,Richard Coyle,Action & Adventure
5011,s5012,Movie,Puss in Book: Trapped in an Epic Tale,"Eric Bauza, Jayma Mays, Maria Bamford, Jeff Bennett, Grey Griffin, Carla Jimenez, Paul Rugg, Joshua Rush",2017,TV-Y7,24 min,"Children & Family Movies, Comedies",United States,Eric Bauza,Children & Family Movies
5012,s5013,Movie,Puss in Boots,"Antonio Banderas, Salma Hayek, Zach Galifianakis, Billy Bob Thornton, Amy Sedaris, Constance Marie, Guillermo del Toro, Mike Mitchell",2011,PG,92 min,"Children & Family Movies, Comedies",United States,Antonio Banderas,Children & Family Movies
5013,s5014,TV Show,Put Your Head on My Shoulder,"Fair Xing, Lin Yi, Daddi Tang, Yi Sha, Zhou Zixin, Zheng Yingchen, Cai Gang, Liang Aiqi, Rong Rong, He Qiang",2019,TV-14,1 Season,"International TV Shows, Romantic TV Shows, Teen TV Shows",China,Fair Xing,International TV Shows
5014,s5015,Movie,Pyaar Ka Punchnama,"Kartik Aaryan, Divyendu Sharma, Raayo S. Bakhirta, Nushrat Bharucha, Sonalli Sehgall, Ishita Raj",2011,TV-14,149 min,"Comedies, Dramas, International Movies",India,Kartik Aaryan,Comedies
5015,s5016,Movie,Pyaar Ka Punchnama 2,"Kartik Aaryan, Nushrat Bharucha, Sonalli Sehgall, Sunny Singh, Ishita Raj, Omkar Kapoor, Sharat Saxena, Mona Ambegaonkar",2015,TV-MA,136 min,"Comedies, Dramas, International Movies",India,Kartik Aaryan,Comedies
5016,s5017,Movie,Pyaar Ke Side Effects,"Rahul Bose, Mallika Sherawat, Ranvir Shorey, Sharat Saxena, Aamir Bashir, Taraana Raja, Jas Arora, Suchitra Pillai, Sapna Bhavnani, Sophiya Chaudhary",2006,TV-MA,120 min,"Comedies, International Movies, Romantic Movies",India,Rahul Bose,Comedies
5017,s5018,TV Show,Pyaar Tune Kya Kiya,"Meiyang Chang, Surbhi Jyoti",2014,TV-14,3 Seasons,"International TV Shows, Romantic TV Shows, TV Dramas",India,Meiyang Chang,International TV Shows
5018,s5019,Movie,Pyar Ke Do Pal,"Mithun Chakraborty, Jayapradha, Simple Kapadia, Krishan Dhawan, Jagdeep, Bindu, Satyendra Kapoor, Shubha Khote, Amrit Pal, Lalita Pawar",1986,TV-14,153 min,"Dramas, International Movies, Music & Musicals",India,Mithun Chakraborty,Dramas
5020,s5021,Movie,Qarib Qarib Singlle,"Irrfan Khan, Parvathy, Neha Dhupia, Pushtii Shakti, Luke Kenny, Siddharth Menon, Bajrangbali Singh, Brijendra Kala",2017,TV-14,120 min,"Comedies, International Movies, Romantic Movies",India,Irrfan Khan,Comedies
5022,s5023,Movie,Qila,"Dilip Kumar, Mukul Dev, Rekha, Mamta Kulkarni, Smita Jaykar, Gulshan Grover",1998,TV-14,161 min,"Dramas, International Movies",India,Dilip Kumar,Dramas
5023,s5024,TV Show,Qin Empire: Alliance,"Fu Dalong, Ning Jing, Yu Entai, Zhou Bo, Fu Miao, Feihu Sun, Lu Ying, Qiu Yongli",2012,TV-14,1 Season,"International TV Shows, TV Dramas",China,Fu Dalong,International TV Shows
5024,s5025,Movie,Qismat,"Ammy Virk, Sargun Mehta, Guggu Gill, Tania, Harby Sangha, Hardeep Gill, Sukhdev Barnala, Satwant Kaur, Baljinder Kaur, Jashanjeet Gosha",2018,TV-PG,137 min,"Dramas, International Movies, Romantic Movies",India,Ammy Virk,Dramas
5025,s5026,Movie,QLIMAX THE SOURCE,"Michael Brons, Nigel Coppen, Thomas Velderman, Carlos Antunes, Marco Spronk, Willem Rebergen, Joshua Dutrieux, Bob van der Palen, Sefa Vlaarkamp",2020,TV-14,57 min,Music & Musicals,Netherlands,Michael Brons,Music & Musicals
5026,s5027,TV Show,Qué pena tu serie,"Ariel Levy, Andrea Velasco, Lucy Cominetti, Ignacia Allamand, Paz Bascuñán, Claudia Celedón, Nicolás Martínez",2015,TV-MA,1 Season,"International TV Shows, Romantic TV Shows, Spanish-Language TV Shows",United States,Ariel Levy,International TV Shows
5027,s5028,TV Show,Quantico,"Priyanka Chopra, Josh Hopkins, Jake McLaughlin, Aunjanue Ellis, Yasmine Al Massri, Johanna Braddy, Tate Ellington, Graham Rogers, Anabelle Acosta, Russell Tovey, Blair Underwood, Pearl Thusi",2018,TV-14,3 Seasons,"Crime TV Shows, TV Dramas, TV Mysteries",United States,Priyanka Chopra,Crime TV Shows
5028,s5029,Movie,Quantum of Solace,"Daniel Craig, Olga Kurylenko, Mathieu Amalric, Judi Dench, Giancarlo Giannini, Gemma Arterton, Jeffrey Wright, David Harbour, Jesper Christensen, Anatole Taubman",2008,PG-13,106 min,Action & Adventure,United Kingdom,Daniel Craig,Action & Adventure
5029,s5030,Movie,Quartet,"Maggie Smith, Tom Courtenay, Billy Connolly, Pauline Collins, Michael Gambon, Andrew Sachs, Sheridan Smith, David Ryall, Trevor Peacock, Gwyneth Jones",2012,PG-13,98 min,"Comedies, Dramas, Independent Movies",United Kingdom,Maggie Smith,Comedies
5030,s5031,Movie,Queen,"Kangana Ranaut, Rajkummar Rao, Lisa Haydon, Mish Boyko, Jeffrey Chee Eng Ho, Marco Canadea, Sabeeka Imam, Yogendra Tikku",2014,TV-MA,138 min,"Comedies, Dramas, International Movies",India,Kangana Ranaut,Comedies
5031,s5032,TV Show,Queen of No Marriage,"Ethan Juan, Cheryl Yang, Harry Chang, Sylvia Yang, James Wen, Patrick Lee",2009,TV-MA,1 Season,"International TV Shows, Romantic TV Shows, TV Comedies",Taiwan,Ethan Juan,International TV Shows
5032,s5033,Movie,Queen of the Desert,"Nicole Kidman, James Franco, Damian Lewis, Jay Abdo, Robert Pattinson, Jenny Agutter, David Calder, Christopher Fulford, Nick Waring, Holly Earl, Sophie Linfield",2015,PG-13,128 min,Dramas,United States,Nicole Kidman,Dramas
5033,s5034,TV Show,Queen of the South,"Alice Braga, Veronica Falcón, Justina Machado, Peter Gadiot, Hemky Madera, Gerardo Taracena",2018,TV-MA,4 Seasons,"Crime TV Shows, TV Action & Adventure, TV Dramas",United States,Alice Braga,Crime TV Shows
5034,s5035,TV Show,Queen Sono,"Pearl Thusi, Vuyo Dabula, Loyiso Madinga, Kate Liquorish, Sechaba Morojele, Rob van Vuuren, Chi Mhende, Otto Nobela, Khathu Ramabulana, Enhle Mlotshwa",2020,TV-MA,1 Season,"International TV Shows, TV Action & Adventure, TV Dramas",South Africa,Pearl Thusi,International TV Shows
5036,s5037,TV Show,Queens vs. Kings,"Varun Thakur, Anu Menon, Rahul Subramanian, Siddharth Dudeja, Supriya Joshi, Utsav Chakraborty, Saadiya Ali, Kavya Bector, Kumar Varun",2018,TV-14,1 Season,"Stand-Up Comedy & Talk Shows, TV Comedies",United States,Varun Thakur,Stand-Up Comedy & Talk Shows
5037,s5038,TV Show,Queer Eye,"Bobby Berk, Karamo Brown, Tan France, Antoni Porowski, Jonathan Van Ness",2020,TV-14,5 Seasons,Reality TV,United States,Bobby Berk,Reality TV
5038,s5039,TV Show,Queer Eye: We're in Japan!,"Bobby Berk, Karamo Brown, Tan France, Antoni Porowski, Jonathan Van Ness, Kiko Mizuhara",2019,TV-14,1 Season,"International TV Shows, Reality TV",United States,Bobby Berk,International TV Shows
5039,s5040,Movie,Quién te cantará,"Najwa Nimri, Eva Llorach, Carme Elias, Natalia de Molina, Julián Villagrán, Ignacio Mateos, Lorena Iglesias, Vicenta N'Dongo, Inma Cuevas, Per-Olav Sorensen",2018,TV-MA,125 min,"Dramas, Independent Movies, International Movies",Spain,Najwa Nimri,Dramas
5040,s5041,TV Show,Quicksand,"Hanna Ardéhn, Felix Sandman, William Spetz, Ella Rappich, David Dencik, Reuben Sallmander, Maria Sundbom, Rebecka Hemse, Arvid Sand, Helena af Sandeberg, Anna Björk",2019,TV-MA,1 Season,"Crime TV Shows, International TV Shows, TV Dramas",Sweden,Hanna Ardéhn,Crime TV Shows
